Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1257501  Y 1198229
X 1263941  Y 1202306
X 1266422  Y 1204810
X 1274103  Y 1204813
X 1263875  Y 1204834
X 1271599  Y 1204868
X 1266510  Y 1207359
X 1274116  Y 1207386
X 1268976  Y 1209884
X 1276641  Y 1209913
X 1266376  Y 1209979
X 1268992  Y 1212498
X 1268969  Y 1214843
X 1271527  Y 1215008
X 1263874  Y 1215051
X 1276513  Y 1215153
X 1266557  Y 1215203
X 1274100  Y 1215303
X 1274169  Y 1217458
X 1276510  Y 1217459
X 1266412  Y 1217608
X 1268834  Y 1217765
X 1258098  Y 1218840
X 1269034  Y 1220161
X 1276710  Y 1222659
X 1274110  Y 1222659
X 1268954  Y 1222719
X 1266432  Y 1222719
X 1271553  Y 1225282
X 1266470  Y 1227758
X 1263936  Y 1227886
X 1261436  Y 1227972
X 1257715  Y 1228591
X 1271600  Y 1230300
X 1276608  Y 1230344
X 1266419  Y 1230368
X 1268979  Y 1230368
X 1266419  Y 1232928
X 1268978  Y 1232928
X 1274099  Y 1232928
X 1274233  Y 1235391
X 1271414  Y 1235658
X 1258210  Y 1242960
X 1302300  Y 1238115
X 1289465  Y 1235513
X 1299671  Y 1235487
X 1302300  Y 1235450
X 1284500  Y 1235375
X 1291868  Y 1235373
X 1299815  Y 1233075
X 1284334  Y 1232961
X 1279196  Y 1232941
X 1289310  Y 1232846
X 1296979  Y 1232807
X 1292139  Y 1232792
X 1281640  Y 1230569
X 1279190  Y 1230399
X 1302396  Y 1230398
X 1297096  Y 1230386
X 1284306  Y 1230375
X 1289347  Y 1230304
X 1299511  Y 1230265
X 1292147  Y 1230237
X 1292010  Y 1227859
X 1302200  Y 1227800
X 1289545  Y 1227780
X 1299531  Y 1227721
X 1297000  Y 1227700
X 1284191  Y 1227680
X 1289588  Y 1225379
X 1302310  Y 1225359
X 1284330  Y 1225280
X 1294609  Y 1222776
X 1279245  Y 1222682
X 1284410  Y 1222639
X 1302083  Y 1222573
X 1281638  Y 1222556
X 1281630  Y 1220324
X 1292166  Y 1220302
X 1297010  Y 1220259
X 1294610  Y 1220259
X 1302266  Y 1220161
X 1284310  Y 1220159
X 1294409  Y 1217717
X 1279100  Y 1217700
X 1284310  Y 1217659
X 1281710  Y 1217659
X 1302044  Y 1217600
X 1286800  Y 1217577
X 1299549  Y 1217514
X 1291910  Y 1217459
X 1299553  Y 1215214
X 1294710  Y 1215159
X 1301996  Y 1215047
X 1286900  Y 1215041
X 1302010  Y 1212559
X 1286925  Y 1212517
X 1289405  Y 1209978
X 1294610  Y 1209959
X 1297113  Y 1209924
X 1284275  Y 1209889
X 1279156  Y 1209858
X 1281634  Y 1209758
X 1284321  Y 1207399
X 1289410  Y 1207393
X 1297126  Y 1207388
X 1281782  Y 1207376
X 1292010  Y 1207359
X 1279077  Y 1207228
X 1299564  Y 1207201
X 1296968  Y 1204939
X 1299768  Y 1204864
X 1289450  Y 1204823
X 1292200  Y 1204800
X 1279277  Y 1204717
X 1279110  Y 1202359
X 1302110  Y 1202359
X 1313741  Y 1193806
X 1313891  Y 1198593
X 1318868  Y 1200716
X 1307365  Y 1202224
X 1309925  Y 1202231
X 1304810  Y 1204809
X 1304810  Y 1207359
X 1323482  Y 1208897
X 1304823  Y 1209923
X 1313198  Y 1211023
X 1304814  Y 1212494
X 1325109  Y 1213192
X 1304810  Y 1215052
X 1313141  Y 1216278
X 1304828  Y 1222719
X 1307350  Y 1222730
X 1307263  Y 1225173
X 1304710  Y 1225359
X 1326637  Y 1226992
X 1323593  Y 1229781
X 1307386  Y 1230393
X 1320557  Y 1232653
X 1304810  Y 1235512
X 1312963  Y 1243065

Drill: .012  Tool: 2  Feed: 95  Speed: 300
X 1003400  Y 1004579
X 1014713  Y 1004579
X 1026027  Y 1004579
X 1015500  Y 1010000
X 1020370  Y 1010236
X 1026027  Y 1015893
X 1026027  Y 1027207
X 1023000  Y 1030000
X 1025000  Y 1045000
X 1026027  Y 1049834
X 1003400  Y 1061148
X 1014713  Y 1061148
X 1026027  Y 1061148
X 1020370  Y 1066805
X 1009056  Y 1066805
X 1003400  Y 1072462
X 1026027  Y 1072462
X 1012559  Y 1072493
X 1020370  Y 1078118
X 1009056  Y 1078118
X 1003400  Y 1083775
X 1026027  Y 1083775
X 1013659  Y 1084793
X 1020559  Y 1089293
X 1009056  Y 1089432
X 1003400  Y 1095089
X 1026027  Y 1095089
X 1014359  Y 1095493
X 1009056  Y 1100746
X 1021159  Y 1100793
X 1014713  Y 1106403
X 1003400  Y 1106403
X 1005000  Y 1120500
X 1017542  Y 1122294
X 1003400  Y 1122294
X 1010000  Y 1123000
X 1010000  Y 1125300
X 1010000  Y 1127500
X 1003400  Y 1136436
X 1024613  Y 1143507
X 1003400  Y 1150578
X 1017542  Y 1164720
X 1003400  Y 1164720
X 1024613  Y 1171791
X 1017610  Y 1172393
X 1015700  Y 1177700
X 1003400  Y 1178862
X 1019110  Y 1183659
X 1016110  Y 1190559
X 1003400  Y 1193004
X 1016210  Y 1193759
X 1016210  Y 1196959
X 1016210  Y 1200159
X 1016210  Y 1203359
X 1003400  Y 1207146
X 1024613  Y 1214218
X 1017542  Y 1221289
X 1003400  Y 1221289
X 1027200  Y 1221500
X 1022500  Y 1226200
X 1024613  Y 1228360
X 1003400  Y 1235431
X 1017542  Y 1235431
X 1024613  Y 1242502
X 1003400  Y 1249573
X 1017542  Y 1249573
X 1024613  Y 1256644
X 1017542  Y 1263715
X 1003400  Y 1263715
X 1024613  Y 1270786
X 1003400  Y 1277857
X 1017542  Y 1277857
X 1024613  Y 1284928
X 1003400  Y 1291999
X 1017542  Y 1291999
X 1024613  Y 1299070
X 1017542  Y 1306141
X 1003400  Y 1306141
X 1024613  Y 1313212
X 1017542  Y 1320284
X 1003400  Y 1320284
X 1017542  Y 1334426
X 1003400  Y 1334426
X 1024613  Y 1341497
X 1020500  Y 1346800
X 1003400  Y 1348568
X 1017542  Y 1348568
X 1024613  Y 1355639
X 1003400  Y 1362710
X 1017542  Y 1376852
X 1003400  Y 1376852
X 1024613  Y 1383923
X 1017542  Y 1390994
X 1003400  Y 1390994
X 1024613  Y 1398065
X 1010610  Y 1398159
X 1018110  Y 1407159
